trigger: TY missed to score KPI SW Sept 02   KPI Spec, desc: TY missed to Review and Set Score of SW 2 spec.ipynb to 85%, response: TY missed to Review and Set Score of SW 2 spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 32d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 32d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 32d
trigger: TY missed to score KPI ST Sept 02   KPI Spec, desc: TY missed to Review and Set Score of ST KPI spec.ipynb to 85%, response: TY missed to Review and Set Score of ST KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 32d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 32d
trigger: MM missed to score KPI SW Sept 02   KPI Spec, desc: MM missed to Review and Set Score of SW 2 spec.ipynb to 85%, response: MM missed to Review and Set Score of SW 2 spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: MM missed to score KPI TY Sept 02   KPI spec.ipynb, desc: MM missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: MM missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: Info KPI spec.ipynb Status MM missed to score KPI for TY, desc: MM missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: MM missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so MM can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so MM can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: MM missed to score KPI ST Sept 02   KPI Spec, desc: MM missed to Review and Set Score of ST KPI spec.ipynb to 85%, response: MM missed to Review and Set Score of ST KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so MM can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so MM can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=970300925, who: MM, Days Passed: 32d
trigger: WY missed to score KPI SW Sept 02   KPI Spec, desc: WY missed to Review and Set Score of SW 2 spec.ipynb to 85%, response: WY missed to Review and Set Score of SW 2 spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: WY missed to score KPI TY Sept 02   KPI spec.ipynb, desc: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: Info KPI spec.ipynb Status WY missed to score KPI for TY, desc: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: WY missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so WY can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so WY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so WY can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so WY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: WY missed to score KPI ST Sept 02   KPI Spec, desc: WY missed to Review and Set Score of ST KPI spec.ipynb to 85%, response: WY missed to Review and Set Score of ST KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=1594245578, who: WY, Days Passed: 32d
trigger: SL missed to score KPI SW Sept 02   KPI Spec, desc: SL missed to Review and Set Score of SW 2 spec.ipynb to 85%, response: SL missed to Review and Set Score of SW 2 spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: SL missed to score KPI TY Sept 02   KPI spec.ipynb, desc: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: Info KPI spec.ipynb Status SL missed to score KPI for TY, desc: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SL missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: SL missed to score KPI ST Sept 02   KPI Spec, desc: SL missed to Review and Set Score of ST KPI spec.ipynb to 85%, response: SL missed to Review and Set Score of ST KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SL can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=2015544916, who: SL, Days Passed: 32d
trigger: ST missed to score KPI SW Sept 02   KPI Spec, desc: ST missed to Review and Set Score of SW 2 spec.ipynb to 85%, response: ST missed to Review and Set Score of SW 2 spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: ST missed to score KPI TY Sept 02   KPI spec.ipynb, desc: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: Info KPI spec.ipynb Status ST missed to score KPI for TY, desc: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: ST missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so ST can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=274585347, who: ST, Days Passed: 32d
trigger: SW missed to score KPI TY Sept 02   KPI spec.ipynb, desc: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 32d
trigger: Info KPI spec.ipynb Status SW missed to score KPI for TY, desc: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, response: SW missed to Review and Set Score of TY KPI spec.ipynb to 85%, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 32d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 32d
trigger: MM did not set score to 2% for MM Sept 02   KPI Spec, desc: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task MM Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 32d
trigger: WY did not set score to 2% for WY Sept 02   KPI Spec, desc: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, response: Please set Actual score to 2% for task WY Sept 02   KPI Spec in KPI spec.ipynb so SW can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=133023009, who: SW, Days Passed: 32d
trigger: SW did not set score to 2% for SW Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so TY can review it, response: Please set Actual score to 2% for task SW Sept 02   KPI Spec in 2 spec.ipynb so TY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 22d
trigger: SL did not set score to 2% for SL Sept 02   KPI Spec, desc: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, response: Please set Actual score to 2% for task SL Sept 02   KPI Spec in KPI spec.ipynb so TY can review it, Link: https://docs.google.com/spreadsheets/d/1_v0e94SwvzJku44nGpbpdVzEboyjDAS0oo0LZfuvnI4/edit#gid=1386108690&fvid=465905127, who: TY, Days Passed: 22d
